wxn1,wxn2,wxn3,wxn4,wxn5,wxn6,wxn7,wxn8,wxn9,wxn10,wxn11,wxn12,wxn13,y0
1,372,8.56,0.13,40,28,21.126,4.5,21,2,3,2,1,1
1,373,7.17,5.76,60,31,19.223,6.54,9,2,3,2,4,1
1,374,8.41,2.42,27,29,19.76,3.24,13,1,5,2,1,1
1,376,8.51,5.91,38,25,16.889,3.13,12,1,5,1,1,0
1,377,6.86,5.05,59,31,18.34,9.76,17,2,5,1,1,1
1,378,6.85,5.15,25,29,23.011,7.18,16,2,3,1,2,0
1,379,7.17,4.02,32,30,22.032,5.03,18,2,3,2,2,0
1,380,8.98,7.85,35,27,22.893,2.72,11,2,3,1,1,0
1,382,7.99,4.1,47,25,20.83,2.96,11,2,5,1,1,1
1,383,4.74,3.29,19,33,24.92,5.11,21,1,5,2,1,1
1,384,8.64,7.65,32,26,27.689,6.38,25,1,5,1,2,1
1,385,8.35,9.65,45,29,31.08,11,26,1,5,2,2,0
1,387,8.19,6.76,15,30,20.029,6.3,15,1,5,1,4,0
1,389,7.64,3.17,52,32,21.48,5.34,28,1,5,1,1,1
1,391,7.16,4.84,36,32,30.8,6.74,16,1,5,1,1,0
1,392,9.64,8.18,34,30,16.529,2.9,19,2,5,1,4,1
1,393,7.05,3.11,45,28,22.06,2.74,20,2,3,2,1,1
1,394,5.97,6.16,34,28,20.08,3.09,19,1,5,2,6,1
1,395,7.73,5.43,40,29,20.55,5.94,6,2,5,2,4,0
1,396,4.78,3.47,30,27,20.569,6.42,14,2,5,1,4,0
1,397,7.33,3.61,29,27,19.195,6.03,12,2,5,2,1,1
1,398,7.65,5.52,29,28,27.41,6.85,19,2,5,2,2,1
1,399,6.03,4.32,24,30,21.719,4.95,22,2,3,1,1,1
1,400,6.46,6.81,40,26,19.835,3.89,11,2,5,1,4,1
1,401,8.86,9.48,44,27,17.445,5.52,11,2,3,2,1,0
1,402,5.88,4.46,55,22,27.942,4.93,31,1,5,1,1,1
1,403,7.06,11.83,67,33,24.558,10.82,23,2,3,1,2,1
1,404,7.56,6.19,59,29,20.559,1.86,11,2,5,2,1,0
1,405,7.81,4.07,62,26,21.778,2.56,0,1,5,2,1,1
1,406,8.77,3.18,44,31,19.69,7.43,13,1,5,2,1,0
1,407,7.29,15.26,49,28,27.471,7.16,30,2,5,1,2,1
1,408,4.52,6.77,44,31,34.24,14.22,26,1,5,1,2,1
1,410,8.71,5.41,24,29,27.13,9.71,25,1,5,2,1,1
1,411,6.11,3.6,71,27,23.936,6.84,25,2,5,2,1,0
1,412,7.27,3.54,34,27,25.631,2.61,13,2,3,1,2,1
1,413,5.92,1.75,25,31,24.342,4.22,20,1,5,1,1,1
1,414,5.1,3.46,33,27,21.096,5.19,18,2,3,1,1,0
1,416,7.71,4.05,24,34,24.69,4.54,20,2,5,1,4,1
1,417,7.77,5.85,49,25,17.625,3.06,11,2,3,1,4,1
1,418,7.84,4.4,25,33,21.36,4.03,12,1,5,1,1,1
1,422,11.31,9.86,40,28,20.7,4.39,12,1,5,2,1,0
1,424,6.96,3.76,35,31,21.3,2.35,11,2,3,1,1,0
1,425,7.8,6.21,17,34,19.14,2.7,13,2,5,1,1,1
1,428,9.16,7.02,14,29,16.937,8.29,15,1,5,1,2,1
1,430,5.47,4.65,30,33,22.744,5.35,22,2,5,2,4,1
1,431,6.27,5.98,42,28,20.029,10.39,25,1,5,1,4,1
1,432,7.39,3.91,30,26,22.427,4.16,9,2,5,2,1,0
1,433,11.52,7.67,47,27,20.833,3.19,14,2,3,1,4,1
1,436,7.41,5.75,21,29,32.03,5.9,13,2,5,1,4,1
1,438,8.55,7.01,47,30,23.183,3.17,19,2,5,2,4,1
1,439,7.88,3.34,28,29,24.61,3.88,10,2,5,2,1,1
1,440,5.82,11.07,46,30,18.099,21.57,29,2,3,1,2,1
1,441,7.35,4.17,27,24,22.31,5.65,17,2,5,1,1,0
1,442,5.01,5.02,43,33,19.31,5.27,9,1,5,1,4,1
1,443,11.41,4.98,36,33,19.38,3.89,9,2,3,1,1,0
1,445,9.47,7.33,26,26,20.776,6.15,19,1,5,2,1,0
1,447,7.8,4.99,13,26,20.619,4.83,22,1,5,1,1,0
1,448,6.65,4.96,17,24,19.255,6.27,31,1,5,1,1,0
1,449,4.43,6.89,57,31,23.634,7.11,13,2,3,1,2,0
1,451,6.49,4.99,17,33,21.908,4.65,9,2,3,1,4,1
1,452,5.69,6.33,49,31,24.677,5.26,24,1,5,1,1,1
1,453,6,3.38,54,32,18.611,4.87,17,1,5,1,4,1
1,454,4.3,12.2,44,28,19.228,11.97,26,1,5,1,4,1
1,455,5.09,4.5,37,32,20.94,6.32,12,1,5,1,4,0
1,456,8.25,2.64,37,30,23.111,6.5,20,1,5,2,1,0
1,457,6.87,4.83,31,28,22.49,6.82,21,2,5,1,1,1
1,459,7.82,6.18,33,32,19.918,6.42,14,1,5,2,1,1
1,461,8.02,5.28,17,30,20.658,5.39,25,2,3,2,1,0
1,462,10.11,6.06,64,31,20.904,7.63,15,2,5,1,1,1
1,463,6.67,5.35,20,27,19.82,3.52,22,2,3,2,1,0
1,464,8.27,7.28,44,26,19.289,7.17,25,2,5,2,1,1
1,466,8.53,4.78,37,30,19.289,2.89,11,2,3,2,4,0
1,467,7.97,4.41,33,32,20.196,2.82,15,1,5,1,4,1
1,468,8.82,5.37,20,30,17.782,5.59,15,2,3,1,1,0
1,469,6.23,5.23,36,30,19.38,11.57,18,2,3,1,4,1
